xx,yy,herb,properties,rgb
-2.97184515,-3.365247965,地黄,"四气五味：甘,寒；归经：心,肝,肾","rgb(0,89,88)"
-3.198005676,-4.076366901,龟甲胶,"四气五味：咸,甘,凉；归经：肝,肾,心","rgb(0,60,75)"
-3.057582855,-3.7283329960000002,龟甲,"四气五味：咸,甘,微寒；归经：肝,肾,心","rgb(0,72,85)"
-2.354230642,0.802957475,石菖蒲,"四气五味：辛,苦,温；归经：心,胃","rgb(147,146,146)"
-2.4959867,-3.9736080169999997,何首乌,"四气五味：苦,甘,涩,微温；归经：肝,心,肾","rgb(9,58,87)"
-2.003940582,0.8999441859999999,补骨脂,"四气五味：辛,苦,温；归经：肾,脾","rgb(137,136,135)"
-3.4250743389999996,-0.16085466699999998,龙眼肉,"四气五味：甘,温；归经：心,脾","rgb(143,162,95)"
-3.735731125,-3.6329350469999997,酸枣仁,"四气五味：甘,酸,平；归经：肝,胆,心","rgb(0,82,66)"
-2.563746929,1.226793647,木香,"四气五味：辛,苦,温；归经：脾,胃,大肠,三焦,胆","rgb(140,139,138)"
-2.309523344,0.324441075,远志,"四气五味：苦,辛,温；归经：心,肾,肺","rgb(152,150,150)"
-1.73198545,-1.045446277,川芎,"四气五味：辛,温；归经：肝,胆,心包","rgb(63,143,94)"
